Employee Id,Probation End Date,Ticket Entitlement Date,Dept Code,Job Title
600631,20181005,20251001,4,Barber
602643,20220906,20270310,7,Cleaner
29773,20160328,20251001,4,Driver
600272,20171124,20251001,7,Multi Technician
600987,20190328,20251001,4,Driver
600262,20170819,20251001,4,Driver
602659,20220906,20270310,7,Cleaner
602723,20221007,20270410,7,Cleaner
601231,20190802,20251001,11,Irrigation Technician
33094,20140808,,4,Civil Foreman
602649,20220902,20270306,7,Cleaner
19762,20160328,20151001,4,Driver ( Cat 3)
21772,20160328,20251001,4,VIP Waiter (Barista/Juice Maker)
600802,20181114,20251001,7,Cleaning Team Leader
28813,20160328,20251001,4,Pantry Boy
602199,20211211,20260614,7,Cleaner
19797,20160328,20151001,4,Driver (Cat 3) - Supervisor L1
600977,20190203,20251001,4,Pantry Boy
35275,20140622,20251001,6,Helper
602553,20220731,20270201,7,Civil Technician.
600942,20190118,20251001,7,FF Technician
602255,20220305,20260906,7,Multi Technician
602093,20210911,20260315,7,Fire Alarm Technician
600782,20181120,20251001,7,Team Leader
602149,20211011,20260414,11,Gardener
21783,20160328,20251001,7,Team Leader
601928,20210521,20251122,11,Gardener
31334,20160328,20251001,4,Driver
600999,20190614,20251001,11,Gardener
602751,20221018,20270421,7,Cleaner
600244,20170706,20251001,4,Driver
602316,20220424,20261026,6,Painter
29886,20160328,,4,Gym Instructor (Certified) L2
600303,20171201,20251001,7,SME Team Leader
602197,20211211,20260614,7,Cleaner
32886,20130816,20251001,4,Driver
600351,20180119,20251001,7,Multi Technician
602345,20220509,20261110,7,FF Technician
602195,20211211,20260614,7,Cleaner
602674,20220911,20270315,7,Cleaner
601308,20190927,20251001,7,Civil/Plumber Technician
602272,20220402,20261004,7,Techinician
601967,20210329,20251001,4,Office Boy
601770,20201109,20251001,10,Driver
35427,20141115,20251001,4,Pantry Boy
600515,20180525,20251001,10,Driver
600253,20170901,20251001,11,Gardener
601096,20190607,20251001,7,Multi Technician
600466,20180518,20251001,7,Multi Technician
600248,20170811,20251001,11,Gardener
600146,20170526,20251001,7,Multi Technician
601956,20210708,20260109,4,Gym Helper L3
602334,20220507,20261108,7,Techinician
602181,20211204,20260607,7,Multi Technician
600994,20190506,20251001,7,Cleaner
600993,20190506,20251001,7,Cleaner
19802,20160328,20251001,10,Driver
601301,20190830,20251001,4,Pantry Boy
602724,20221007,20270410,7,Cleaner
600413,20180406,,4,Coffee Machine Service Supervisor
21777,20160328,20251001,4,Driver ( Cat 3)
602169,20211106,20260510,7,Multi Technician
601521,20200515,20251001,4,Car Washer
39582,20170120,,7,Facilities Engineer
602637,20220902,20270306,4,Office Boy
25676,20160328,20251001,4,Driver
31738,20130124,20251001,4,Pantry Boy
601445,20200131,20251001,7,Multi Technician
602496,20220729,20270130,4,Barber
602742,20221018,20270421,6,Painter
37618,20151119,20251001,4,Driver
601913,20210421,20251024,7,Cleaner
601347,20190920,20251001,7,Multi Technician
601024,20190522,20251001,7,Cleaner
602537,20220728,20270129,7,Cleaner
601987,20210712,20260113,7,Cleaner
602437,20220726,20270127,7,Cleaner
602455,20220725,20270126,7,Cleaner
602436,20220725,20270126,7,Cleaner
602435,20220731,20270201,7,Cleaner
602759,20221104,20270508,7,Cleaner
602555,20220728,20270129,7,Cleaner
601580,20200830,20251001,7,Cleaner
601978,20210705,20260106,7,Cleaner
602539,20220728,20270129,7,Cleaner
601973,20210705,20260106,7,Cleaner
602577,20220731,20270201,7,Cleaner
602504,20220725,20270126,7,Cleaner
600243,20170728,,4,Document Controller
602692,20220923,20270327,4,Automobile Technician
602750,20221025,,12,Jr. Mechanical Engin
600862,20181221,20251001,4,Pantry Boy
600186,20170714,20251001,6,Chargehand Fit Out
601500,20200525,20251001,7,Cleaner
600948,20190412,20251001,7,Civil/Plumber Technician
602811,20221224,20270627,4,IT helper
600939,20190308,,4,Physiotherapist
602594,20220815,20270216,7,Cleaner
602475,20220725,20270126,7,Cleaner
602194,20211211,20260614,7,Cleaner
601438,20200313,20251001,7,Cleaner
21779,20160328,20251001,4,Pantry Boy
602650,20220902,20270306,7,Cleaner
602154,20211027,20260430,7,Cleaner
602663,20220906,20270310,7,Cleaner
600420,20180330,20251001,7,Team Leader
602767,20221107,20270511,7,Cleaner
601901,20210329,,12,QHSE Manager
600929,20190301,20251001,4,Technician - (Gates & Barriers)
600941,20190118,20251001,7,HVAC Technician
601900,20210401,,6,Project Director
602162,20211029,20260502,7,Cleaner
602609,20220816,20270217,7,Cleaner
602812,20221230,,4,Purchase Officer
601764,20201210,20251001,7,Cleaner
28804,20160328,20251001,4,Pantry Boy
32885,20130919,,4,Access Control Supervisor
602545,20220725,20270126,7,Cleaner
602601,20220815,20270216,7,Cleaner
602163,20211029,20260502,7,Cleaner
600277,20171111,20251001,7,Plumber Technician
602453,20220725,20270126,7,Cleaner
602256,20220306,,6,Document Controller
602442,20220725,20270126,7,Cleaner
28698,20160328,20251001,4,Driver
602749,20221011,20270414,7,Cleaner
602654,20220904,20270308,7,Cleaner
602680,20220911,20270315,7,Cleaner
600282,20170929,20251001,4,Pantry Boy
602392,20220626,20261228,4,Car Washer
39570,20161216,,4,Senior Architect
602327,20220505,20261106,4,Driver
602036,20210809,20260210,7,Cleaner
600401,20180127,,7,Head of Data Center & Signal Station
21773,20160328,20251001,4,Driver
602010,20210715,,12,Executive Secretary
602732,20221010,20270413,7,Cleaner
602001,20210712,20260113,7,Cleaner
602612,20220816,20270217,7,Cleaner
601348,20191115,20251001,7,Multi Technician
601933,20210529,,4,Supervisor
602336,20220519,20261120,7,Cleaner
602765,20221104,20270508,7,Cleaner
600738,20180927,,11,Supervisor
602763,20221104,20270508,7,Cleaner
602365,20220525,20261126,7,Cleaner
602005,20210712,20260113,7,Cleaner
602235,20220206,20260810,7,Plumbing Team Leader
602224,20220122,20260726,7,Cleaning Team Leader
602494,20220719,20270120,7,Multi Technician
600883,20181214,20251001,7,Cleaning Team Leader
602004,20210712,20260113,7,Cleaner
28801,20160328,20251001,4,Pantry Boy
21785,20160328,20251001,4,Pantry Boy
601934,20210529,20251130,4,Driver ( Cat 3)
601769,20201109,20251001,7,Team Leader/ Driver
602157,20211027,20260430,7,Cleaner
602549,20220729,20270130,6,Painter
602666,20220830,20270303,4,Car Washer
601123,20190816,20251001,4,Furniture Installation Technician
602648,20220902,20270306,7,Cleaner
602721,20221007,20270410,7,Cleaner
36645,20160924,20251001,4,Car Washer
602638,20220902,20270306,7,Cleaner
600636,20181012,,7,Zone Manager
602752,20221018,20270421,7,Cleaner
601003,20190522,20251001,7,Façade Cleaner
601775,20210319,20250921,4,Barber
600984,20190308,20251001,4,Driver
601091,20190621,20251001,4,Pantry Boy
602748,20221011,20270414,7,Cleaner
602245,20220224,20260828,4,Office Boy
602779,20221125,20270529,7,Multi Technician
600777,20181120,20251001,7,Cleaning Team Leader
602493,20220719,20270120,7,HVAC Technician
602016,20210722,,4,Assistant Manager
602729,20221010,20270413,4,Office Boy
600751,20181207,20251001,7,HVAC Technician
602641,20220902,20270306,7,Cleaner
40051,20170721,20251001,7,Team Leader
600750,20190118,20251001,6,HVAC Technician
602660,20220906,20270310,7,Cleaner
602136,20211005,20260408,7,Multi Technician
19807,20160328,20251001,4,Pantry Boy
602652,20220902,20270306,7,Facade Cleaner
602671,20220912,20270316,7,Cleaner
601932,20210603,,6,Design Manager
602150,20210630,20260101,4,Driver
600747,20180927,20251001,4,VIP Waiter (Barista/Juice Maker - Supervisor L1)
18112,20160328,20251001,4,Pantry Boy
600314,20180119,20251001,7,FF - Team Leader
600241,20170721,,4,Access Control Supervisor
18110,20160328,20251001,4,Pantry Boy
32650,20120927,20251001,4,Pantry Boy
19799,20160328,,4,Hospitality Supervisor
22940,20160328,20251001,4,Car Washer
31626,20130126,20251001,4,VIP Waiter (Barista/Juice Maker)
19806,20160328,20251001,4,Driver ( Cat 3)
600780,20181120,20251001,7,Cleaner
602427,20220711,20270112,7,Cleaner
22673,20160328,20251001,4,Pantry Boy
601473,20200424,20251001,7,Cleaner
602066,20210809,20260210,7,Cleaner
602615,20220820,20270221,4,Driver
19798,20160328,20251001,4,Pantry Boy
33052,20131122,20251001,4,Pantry Boy
21771,20160328,20251001,4,Pantry Boy
600427,20180316,20251001,4,Pantry Boy
21770,20160328,20251001,4,Pantry Boy
602450,20220729,20270130,7,Cleaner
602206,20211226,20260629,7,Multi Technician
32428,20130627,20251001,4,Pantry Boy
602386,20220719,20270120,7,HVAC Technician
600147,20170526,20251001,11,Gardener
601576,20200904,20251001,7,FM Team Leader
600739,20180927,,11,Agriculture Engineer
601005,20190522,20251001,7,Cleaner
600247,20170825,20251001,11,Gardener
602430,20220712,20270113,10,Driver
602694,20220924,20270328,11,Gardener
602359,20220525,20261126,7,Cleaner
602725,20221007,20270410,7,Cleaner
602817,20221223,20270626,7,Cleaner
602538,20220730,20270131,7,Cleaner
600275,20171124,20251001,7,Mechanical Chargehan
31503,20121223,20251001,4,Pantry Boy
602541,20220728,20270129,7,Cleaner
602730,20221010,20270413,7,Cleaner
600834,20181224,20251001,7,Cleaner
600917,20190125,20251001,7,Cleaner
600922,20190125,20251001,7,Cleaner
602174,20211114,20260518,7,Cleaner
600398,20180202,,10,Driver - Supervisor
602508,20220805,20270206,7,Plumbing Technician
602037,20210809,20260210,7,Cleaner
602524,20220726,20270127,6,Gypsum Carpenter
602052,20210809,20260210,7,Cleaner
602568,20220807,20270208,7,Cleaner
602546,20220730,20270131,7,Cleaner
600437,20180511,20251001,7,Team Leader
35274,20140630,20251001,6,Mason
602590,20220802,20270203,10,Assist. Store Keeper
600779,20181121,20251001,7,Cleaner
602055,20210809,20260210,7,Cleaner
602041,20210809,20260210,7,Cleaner
602056,20210809,20260210,4,IT helper
601582,20200830,20251001,7,Cleaner
601985,20210712,20260113,7,Cleaner
602344,20220519,20261120,7,Cleaner
602418,20220711,20270112,7,Cleaner
19801,20160328,20151001,4,Office Boy
602292,20220407,,7,Soft FM - Manager
601950,20210701,,4,Receptionist
600835,20181119,20251001,7,Cleaner
31479,20121213,20251001,4,Pantry Boy
601977,20210705,20260106,7,Cleaner
602061,20210809,20260210,7,Cleaner
601011,20190522,20251001,7,Cleaner
602337,20220519,20261120,7,Cleaner
601233,20190809,20251001,4,Team Leader
602733,20221010,20270413,7,Cleaner
602310,20220421,20261023,4,Driver
602449,20220725,20270126,7,Cleaner
602259,20220310,,7,Kitchen & Laundry Engineer
602634,20220830,20270303,4,VIP Driver
600428,20180316,20251001,4,Pantry Boy
602519,20220725,20270126,7,Cleaner
602520,20220725,20270126,7,Cleaner
602587,20220807,20270208,7,Cleaning Team Leader
602476,20220731,20270201,7,Cleaner
602279,20220403,20261005,7,Technician
21780,20160328,20251001,4,Pantry Boy
602661,20220906,20270310,7,Cleaner
601562,20200703,20251001,7,Cleaner
602764,20221104,20270508,7,Cleaner
602462,20220725,20270126,7,Cleaner
601020,20190522,20251001,7,Cleaning Team Leader
601303,20190927,,4,Audio Video Programmer
602131,20210930,20260403,10,Assist. Store Keeper
600255,20170811,20251001,11,Gardener
601983,20210710,,7,FM Coordinator
602443,20220729,20270130,7,Cleaner
602544,20220728,20270129,7,Cleaner
602459,20220714,20270115,7,Cleaner
602635,20220830,20270303,7,Cleaner
601452,20200214,20251001,4,Store Boy
600462,20180427,,10,Store Keeper
601945,20210624,,12,Commercial and Cost Control Manager
602814,20221231,20270704,7,Multi Technician
602679,20220911,20270315,7,Cleaner
600492,20180622,20251001,4,Pantry Boy
602662,20220906,20270310,7,Cleaner
602667,20220912,20270316,11,Gardener
33104,20140808,,4,Civil Foreman
601038,20190628,20251001,7,Multi Technician
600845,20181207,20251001,7,Cleaner
601044,20190712,20251001,7,Multi Technician
31628,20130126,20251001,4,Car Washer
600300,20171201,20251001,7,Chiller Team Leader
602689,20220923,20270327,4,Office Boy
602678,20220911,20270315,7,Cleaner
600419,20180413,,7,Facilities Engineer
602478,20220725,20270126,7,Cleaner
602681,20220911,20270315,7,Cleaner
39924,20170317,20251001,4,Driver
602410,20220708,20270109,7,Cleaner
601749,20200904,20251001,4,HVAC Technician
600861,20181230,20251001,4,Driver
601360,20190929,20251001,11,Gardener
600145,20170623,20251001,7,Multi Technician
602698,20220926,20270330,7,Cleaner
601042,20190712,20251001,7,Multi Technician
602606,20220815,20270216,10,Driver
602591,20220813,20270214,11,Gardener
602773,20221113,20270517,10,Asistant Electrician
600940,20190118,20251001,7,FA Technician
602184,20211204,20260607,7,Multi Technician
602135,20211005,20260408,7,Multi Technician
600745,20181212,20251001,7,Team Leader
602019,20210722,20260123,7,MEP Technician
602133,20210930,20260403,4,Cashier
602559,20220802,20270203,7,HVAC Technician
39549,20161118,20251001,4,Pantry Boy
600812,20181121,20251001,7,Cleaning Team Leader
601305,20190830,20251001,4,Pantry Boy
602409,20220709,20270110,7,Cleaner
602164,20211028,,14,MEP Engineer / Estimator
601948,20210626,20251228,7,Multi Technician
21790,20160328,20251001,4,Pantry Boy
19812,20160328,20251001,4,Driver ( Cat 3)
601151,20190711,20251001,4,Pantry Boy
600776,20181120,20251001,7,Cleaner
602685,20220917,20270321,7,Cleaner
601792,20210326,20250928,4,Automobile Technician
602168,20211106,20260510,7,Cleaner
602503,20220725,20270126,7,Cleaner
28559,20160328,20251001,4,Car Washer
39255,20160905,20251001,4,Driver
602754,20221031,,2,Accountant
19796,20160328,20251001,4,Pantry Boy
601302,20190907,,4,Networking Technician
602382,20220609,20261211,7,Data Centre Technician
602378,20220604,,7,Cleaning Supervisor
601518,20200731,20251001,11,Irrigation Technician
602411,20220712,,7,FM Supervisor
601146,20190711,20251001,4,Pantry Boy
602656,20220904,20270308,7,Cleaner
22939,20160328,20251001,4,Pantry Boy
19690,20160328,20251001,4,Pantry Boy
602557,20220728,20270129,7,Cleaner
31732,20180127,,4,IT Administrator
32884,20180127,,4,Access Control Manag
602020,20210722,20260123,7,Data Center Technician
19687,20160328,20251001,4,Barber
600180,20170714,20261001,4,Receptionist
600804,20181115,20251001,7,Cleaner
35273,20140622,20251001,7,Civil Team Leader
600373,20180706,20251001,4,Pantry Boy
601028,20190522,20251001,7,Cleaner
602488,20220729,20270130,7,Cleaner
602534,20220728,20270129,7,Cleaner
602018,20210722,20260123,7,Multi Technician
39957,20170324,,4,Senior Quantity Surveyor
602653,20220906,20270310,6,Civil Team Leader
602415,20220725,20270126,7,Cleaner
602760,20221104,20270508,7,Cleaner
601979,20210705,20260106,7,Cleaner
602627,20220826,20270227,4,Barber
600975,20190315,20251001,4,Pantry Boy
601955,20210716,20260117,4,Gym Helper 1
18111,20160328,20251001,4,Pantry Boy
28812,20160328,20251001,4,Pantry Boy
39854,20170505,,6,Network Foreman
601618,20200830,20251001,7,Cleaner
601586,20200830,20251001,7,Cleaner
602364,20220525,20261126,7,Cleaner
602658,20220905,,7,Engineering Manager
600425,20180420,,7,Facility Engineer
600638,20180907,20251001,7,Team Leader
19815,20160328,20151001,4,Office Boy
602639,20220902,20270306,7,Cleaner
602651,20220902,20270306,7,Cleaner
602624,20220826,20270227,4,Office Boy
600736,20180927,20251001,11,Gardener
600997,20190522,20251001,7,Façade Cleaner
601228,20190831,20251001,7,Cleaner
602011,20210715,20260116,7,FA Technician
602278,20220403,20261005,4,Office Boy
602230,20220130,,4,Massage Therapist
602198,20211211,20260614,7,Cleaner
600625,20190713,,7,Head of Operations
602677,20220911,20270315,7,Cleaner
602048,20210809,20260210,7,Cleaner
601969,20210702,,13,CAFM Administrator
600301,20171124,20251001,7,Multi Technician
602314,20220424,20261026,7,Sr. HVAC Technician
602664,20220906,20270310,7,Cleaner
600953,20190125,20251001,7,Cleaner
602579,20220807,20270208,7,Cleaner
602045,20210809,20260210,7,Cleaner
602030,20210801,20260202,4,Office Boy
600245,20170811,20251001,7,Multi Technician
40078,20170421,,11,Supervisor
600315,20171229,20251001,7,FF Technician
602642,20220902,20270306,7,Cleaner
36564,20160616,20251001,4,Pantry Boy
601444,20200117,20251001,4,Car Washer
600319,20171229,,7,FF & FA Supervisor
601407,20200327,20251001,7,Civil/Plumber Technician
600930,20190301,,4,Access Control Techn
22938,20160328,20251001,10,Driver
602062,20210809,20260210,7,Cleaner
601306,20190830,20251001,4,Pantry Boy
602735,20221010,20270413,7,Cleaner
602244,20220211,,4,Receptionist
39412,20161216,20251001,4,Driver
37478,20151027,20251001,4,Driver ( Cat 3)
600985,20190301,20251001,10,Driver
602273,20220401,20261003,4,Driver ( Cat 3 & 5)
602017,20210722,,14,Senior Designer
35429,20141030,20251001,4,Car Washer
602499,20220731,20270201,7,Cleaner
602675,20220911,20270315,7,Cleaner
602582,20220810,20270211,7,Cleaner
602623,20220823,20270224,4,Office Boy
602762,20221104,20270508,7,Cleaner
602576,20220807,20270208,7,Cleaner
600431,20180316,20251001,4,Pantry Boy
602644,20220902,20270306,7,Cleaner
600774,20181121,20251001,7,Cleaner
602448,20220725,20270126,7,Cleaner
601763,20201210,20251001,7,Cleaner
601030,20190522,20251001,7,Cleaner
602006,20210712,20260113,7,Cleaner
600998,20190621,20251001,11,Gardener
600293,20171103,,7,Data Centre Engineer
600430,20180216,20251001,4,Barber
602747,20221011,20270414,7,Cleaner
602394,20220629,20261231,7,Cleaner
600324,20171110,20251001,6,Gypsum Worker
602096,20210915,20260319,7,Electrical Technician
602363,20220525,20261126,7,Cleaner
600269,20171020,,4,Access Control Techn
601055,20190522,20251001,7,Cleaner
600642,20181116,20251001,10,Driver
602196,20211211,20260614,7,Cleaner
40057,20170518,20251001,7,Multi Technician
28803,20160328,20251001,4,Driver
601235,20190918,20251001,7,Team Leader
602186,20211203,20260606,7,Cleaner
600412,20180330,,7,Facility Engineer
602390,20220704,20270105,11,Gardener
602406,20220708,20270109,7,Cleaner
601071,20190726,20251001,7,Multi Technician
